Keyword,Monthly_Searches,Search_Intent,Tier,Priority,CPC_USD,Difficulty,Landing_Page,Status
bigha to acre,900,Transactional,1,CRITICAL,0.50,Very Low,/guides/bigha-to-acre/,To Build
bigha to hectare,750,Transactional,1,CRITICAL,0.45,Very Low,/guides/bigha-to-hectare/,To Build
bigha to square meter,650,Transactional,1,CRITICAL,0.40,Very Low,/guides/bigha-to-square-meter/,To Build
bigha converter india,500,Transactional,1,CRITICAL,0.35,Very Low,/index.html,To Build
kanal to acre,550,Transactional,1,CRITICAL,0.50,Very Low,/guides/kanal-to-acre/,To Build
acre to bigha,450,Transactional,2,HIGH,0.45,Very Low,/guides/acre-to-bigha/,Future
hectare to bigha,500,Transactional,2,HIGH,0.40,Very Low,/guides/hectare-to-bigha/,Future
guntha to acre,400,Transactional,2,HIGH,0.35,Very Low,/guides/guntha-to-acre/,To Build
1 bigha in acres,350,Informational,2,HIGH,0.30,Very Low,/index.html,To Build
Indian land unit converter,450,Transactional,2,HIGH,0.55,Very Low,/index.html,To Build
marla to square feet,300,Transactional,2,HIGH,0.40,Very Low,/guides/marla-to-square-feet/,Future
kanal to marla,250,Transactional,2,HIGH,0.35,Very Low,/guides/kanal-to-marla/,Future
cent to square meter,200,Transactional,2,HIGH,0.30,Very Low,/guides/cent-to-square-meter/,Future
biswa to acre,150,Transactional,2,HIGH,0.25,Very Low,/guides/biswa-to-acre/,Future
5 marla to square feet,280,Transactional,2,HIGH,0.35,Very Low,/guides/5-marla-to-square-feet/,Future
10 bigha in acres,200,Informational,3,MEDIUM,0.25,Very Low,/guides/10-bigha-in-acres/,Future
kanal to square feet,380,Transactional,2,HIGH,0.45,Very Low,/guides/kanal-to-square-feet/,Future
guntha to square meter,180,Transactional,3,MEDIUM,0.20,Very Low,/guides/guntha-to-square-meter/,Future
how to convert bigha to acre,220,Informational,3,MEDIUM,0.35,Low,/index.html,To Build
land measurement units india,280,Informational,3,MEDIUM,0.30,Low,/index.html,To Build
1 bigha is equal to how many acres,150,Informational,3,MEDIUM,0.25,Very Low,/index.html,Future
bigha to square feet conversion,180,Transactional,3,MEDIUM,0.30,Very Low,/guides/bigha-to-square-feet/,Future
kanal to hectare converter,200,Transactional,3,MEDIUM,0.35,Very Low,/guides/kanal-to-hectare/,Future
agricultural land measurement units,140,Informational,3,MEDIUM,0.25,Low,/index.html,Future
plot size calculator india,210,Transactional,3,MEDIUM,0.40,Low,/index.html,Future
how many square meters in a bigha,160,Informational,3,MEDIUM,0.20,Very Low,/index.html,Future
maharashtra land unit converter,120,Transactional,3,MEDIUM,0.35,Very Low,/guides/maharashtra-land-converter/,Future
punjab land measurement calculator,130,Transactional,3,MEDIUM,0.40,Very Low,/guides/punjab-land-converter/,Future
up bigha to acre conversion,110,Transactional,3,MEDIUM,0.30,Very Low,/guides/up-land-converter/,Future
farmers land calculator india,100,Transactional,3,MEDIUM,0.35,Low,/index.html,Future
uttar pradesh bigha to acre,140,Transactional,4,MEDIUM,0.30,Very Low,/guides/up-bigha-converter/,Future
punjab kanal to acre,150,Transactional,4,MEDIUM,0.40,Very Low,/guides/punjab-kanal-converter/,Future
rajasthan bigha converter,120,Transactional,4,MEDIUM,0.35,Very Low,/guides/rajasthan-bigha-converter/,Future
haryana land unit calculator,110,Transactional,4,MEDIUM,0.35,Very Low,/guides/haryana-land-converter/,Future
karnataka guntha to acre,100,Transactional,4,MEDIUM,0.30,Very Low,/guides/karnataka-guntha-converter/,Future
maharashtra guntha converter,95,Transactional,4,MEDIUM,0.30,Very Low,/guides/maharashtra-guntha-converter/,Future
tamil nadu cent to square meter,85,Transactional,4,MEDIUM,0.25,Very Low,/guides/tn-cent-converter/,Future
bihar bigha to acre,100,Transactional,4,MEDIUM,0.25,Very Low,/guides/bihar-bigha-converter/,Future
west bengal land converter,90,Transactional,4,MEDIUM,0.20,Very Low,/guides/wb-land-converter/,Future
marla to hectare,110,Transactional,3,MEDIUM,0.35,Very Low,/guides/marla-to-hectare/,Future
acre to hectare,300,Transactional,2,HIGH,0.40,Low,/index.html,Future
hectare to acre,280,Transactional,2,HIGH,0.40,Low,/index.html,Future
1 kanal in acres,200,Informational,3,MEDIUM,0.30,Very Low,/index.html,Future
1 guntha in square feet,150,Informational,3,MEDIUM,0.25,Very Low,/index.html,Future
agricultural land calculator,220,Transactional,3,MEDIUM,0.35,Low,/index.html,Future
farm land measurement converter,180,Transactional,3,MEDIUM,0.30,Low,/index.html,Future
